METHOD	ROUTE	FILE:LINE	HANDLER	PERMISSIONS	GUARDS	PUBLIC
GET	/api/v1/campus-dashboard/business-admin-summary	src/modules/campus-dashboard/controllers/business-admin-summary.controller.ts:16	getBusinessAdminSummary	campus_dashboard.business_admin_summary.read	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/campus-dashboard/employee-summary	src/modules/campus-dashboard/controllers/employee-summary.controller.ts:17	getEmployeeSummary	campus_dashboard.employee_summary.read	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/campus-dashboard/manager-summary	src/modules/campus-dashboard/controllers/manager-summary.controller.ts:17	getManagerSummary	campus_dashboard.manager_summary.read	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/campus-dashboard/overview	src/modules/campus-dashboard/controllers/dashboard-overview.controller.ts:28	getOverview	campus_dashboard.overview.read	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/campus-dashboard/zones/:zoneId/timeline	src/modules/campus-dashboard/controllers/zone-presence-timeline.controller.ts:28	getTimeline	campus_dashboard.timeline.read	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/campus-dashboard/zones/traffic	src/modules/campus-dashboard/controllers/zone-traffic-heatmap.controller.ts:26	getTraffic	campus_dashboard.traffic.read	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/campus/user-journey	src/modules/gate-access/controllers/user-journey.controller.ts:31	userJourney	zones.gate_log.read	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/departments	src/modules/accounts/controllers/departments.controller.ts:110	listDepartments	department.read	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/departments	src/modules/accounts/controllers/departments.controller.ts:48	createDepartment	department.create	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/departments/:id	src/modules/accounts/controllers/departments.controller.ts:162	updateDepartment	department.update	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/dev/test-mail	src/modules/dev/dev.controller.ts:30	testMail			
POST	/api/v1/dev/test-mail-verify	src/modules/dev/dev.controller.ts:60	testMailVerify			
GET	/api/v1/device-callbacks/face/heartbeat	src/modules/iot/controllers/device-callbacks.controller.ts:9	handleHeartbeatGet			
POST	/api/v1/device-callbacks/face/heartbeat	src/modules/iot/controllers/device-callbacks.controller.ts:14	handleHeartbeatPost			
GET	/api/v1/device-callbacks/face/stranger	src/modules/iot/controllers/device-callbacks.controller.ts:32	handleStrangerGet			
POST	/api/v1/device-callbacks/face/stranger	src/modules/iot/controllers/device-callbacks.controller.ts:37	handleStrangerPost			
GET	/api/v1/device-callbacks/face/verify	src/modules/iot/controllers/device-callbacks.controller.ts:19	handleVerifyGet			
POST	/api/v1/device-callbacks/face/verify	src/modules/iot/controllers/device-callbacks.controller.ts:24	handleVerifyPost			
GET	/api/v1/early-vacancy-config	src/modules/rooms/controllers/early-vacancy-config.controller.ts:29	get	room.early_vacancy.configure	JwtAuthGuard,PermissionsGuard	
PUT	/api/v1/early-vacancy-config	src/modules/rooms/controllers/early-vacancy-config.controller.ts:37	update	room.early_vacancy.configure	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/equipments	src/modules/equipment/controllers/equipment.controller.ts:181	listEquipments	equipment.read	JwtAuthGuard|PermissionsGuard	
POST	/api/v1/equipments	src/modules/equipment/controllers/equipment.controller.ts:45	create	equipment.create	JwtAuthGuard|JwtAuthGuard|PermissionsGuard	
DELETE	/api/v1/equipments/:equipmentId	src/modules/equipment/controllers/equipment.controller.ts:151	deleteEquipment	equipment.delete	JwtAuthGuard|PermissionsGuard	
PATCH	/api/v1/equipments/:equipmentId/assignment	src/modules/equipment/controllers/equipment.controller.ts:220	assignToRoom	equipment.assign	JwtAuthGuard|PermissionsGuard	
PATCH	/api/v1/equipments/:equipmentId/fault	src/modules/equipment/controllers/equipment.controller.ts:93	reportFault	equipment.report_fault	JwtAuthGuard|PermissionsGuard	
GET	/api/v1/face-access/stranger-alerts	src/modules/face-access/controllers/stranger-alert.controller.ts:23	list	face.stranger.read	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/face-access/unmapped-verifies	src/modules/face-access/controllers/unmapped-review.controller.ts:30	list	face.unmapped.read	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/face-access/unmapped-verifies/map	src/modules/face-access/controllers/unmapped-review.controller.ts:45	map	face.unmapped.map	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/gate-access-logs	src/modules/zones/controllers/gate-access-log.controller.ts:42	listForUser		JwtAuthGuard	
GET	/api/v1/gate-access/admin/history	src/modules/gate-access/controllers/gate-access-history.controller.ts:53	listAll	gate_access.history.read_all	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/gate-access/admin/history/:id	src/modules/gate-access/controllers/gate-access-history.controller.ts:84	detailAny	gate_access.history.read_all	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/gate-access/admin/vehicle-traffic-stats	src/modules/gate-access/controllers/vehicle-traffic-stats.controller.ts:28	getStats	gate_access.stats.read	JwtAuthGuard,PermissionsGuard|JwtAuthGuard,PermissionsGuard	
GET	/api/v1/gate-access/history	src/modules/gate-access/controllers/gate-access-history.controller.ts:34	listOwn	'gate_access.history.read_all'(class)	JwtAuthGuard	
GET	/api/v1/gate-access/history/:id	src/modules/gate-access/controllers/gate-access-history.controller.ts:67	detailOwn	'gate_access.history.read_all'(class)	JwtAuthGuard	
GET	/api/v1/hb	src/modules/iot/controllers/short-device-callbacks.controller.ts:8	handleHeartbeatGet			
POST	/api/v1/hb	src/modules/iot/controllers/short-device-callbacks.controller.ts:13	handleHeartbeatPost			
GET	/api/v1/hb/:deviceCode/:callbackToken	src/modules/iot/controllers/short-device-callbacks.controller.ts:18	handleHeartbeatGetWithParams			
POST	/api/v1/hb/:deviceCode/:callbackToken	src/modules/iot/controllers/short-device-callbacks.controller.ts:23	handleHeartbeatPostWithParams			
GET	/api/v1/health	src/modules/health/health.controller.ts:60	check			
POST	/api/v1/internal/ivss/events	src/modules/ivss/controllers/ivss-webhook.controller.ts:32	receiveEvent		IvssInternalTokenGuard	
POST	/api/v1/internal/ivss/occupancy-events	src/modules/ivss/controllers/ivss-occupancy.controller.ts:30	receiveEvent		IvssInternalTokenGuard	
POST	/api/v1/internal/ivss/vehicle-events	src/modules/anpr/controllers/vehicle-webhook.controller.ts:37	receiveEvent		AnprInternalTokenGuard	
POST	/api/v1/internal/meetings/:meetingId/late-checkin-alerts	src/modules/attendance/controllers/checkin-alert.controller.ts:19	triggerLateCheckinAlerts		InternalApiGuard|InternalApiGuard	
POST	/api/v1/internal/no-show-cases	src/modules/rooms/controllers/no-show.controller.ts:37	createInternal		InternalTokenGuard	
GET	/api/v1/iot-devices	src/modules/iot/controllers/iot-devices.controller.ts:37	list	iot.device.read	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/iot-devices	src/modules/iot/controllers/iot-devices.controller.ts:81	create	iot_devices:create	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/iot-devices/:id	src/modules/iot/controllers/iot-devices.controller.ts:68	detail	iot.device.read	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/iot-devices/:id	src/modules/iot/controllers/iot-devices.controller.ts:153	update	iot.device.update	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/iot-devices/:id/ai-config	src/modules/iot/controllers/iot-devices.controller.ts:211	configureAiConfig	iot.device.configure_ai	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/iot-devices/:id/assign-room	src/modules/iot/controllers/iot-devices.controller.ts:125	assignRoom	iot_devices:assign_room	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/iot-devices/:id/check-availability	src/modules/iot/controllers/iot-devices.controller.ts:334	checkAvailability	iot.device.check_availability	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/iot-devices/:id/disable	src/modules/iot/controllers/iot-devices.controller.ts:300	disable	iot.device.disable	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/iot-devices/:id/enable	src/modules/iot/controllers/iot-devices.controller.ts:317	enable	iot.device.enable	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/iot-devices/:id/face-server/revoke	src/modules/iot/controllers/iot-devices.controller.ts:240	revokeFaceServerToken	iot_devices:configure_face_server	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/iot-devices/:id/face-server/rotate	src/modules/iot/controllers/iot-devices.controller.ts:273	rotateFaceServerToken	iot_devices:configure_face_server	JwtAuthGuard,PermissionsGuard	
