METHOD	PATH	FILE:LINE	FUNC	QS
POST	/live-meetings/:param/extension-requests/:param/decide	src/service/employeeServices.js:248	decideExtension	
POST	/live-meetings/:param/extension-requests/:param/decide	src/service/managerServices.js:332	decideExtension	
GET	/live-meetings/:param/present-attendees	src/service/employeeServices.js:232	query	QS
GET	/live-meetings/:param/present-attendees	src/service/managerServices.js:316	query	QS
POST	/live-meetings/:param/recording/:param/pause-video	src/service/employeeServices.js:260	pauseVideoRecording	
POST	/live-meetings/:param/recording/:param/pause-video	src/service/managerServices.js:344	pauseVideoRecording	
POST	/live-meetings/:param/recording/:param/resume-video	src/service/employeeServices.js:264	resumeVideoRecording	
POST	/live-meetings/:param/recording/:param/resume-video	src/service/managerServices.js:348	resumeVideoRecording	
GET	/live-meetings/:param/recording/:param/status	src/service/employeeServices.js:276	getRecordingStatus	
GET	/live-meetings/:param/recording/:param/status	src/service/managerServices.js:365	getRecordingStatus	
POST	/live-meetings/:param/recording/:param/stop-video	src/service/employeeServices.js:268	stopVideoRecording	
POST	/live-meetings/:param/recording/:param/stop-video	src/service/managerServices.js:352	stopVideoRecording	
POST	/live-meetings/:param/recording/start-video	src/service/employeeServices.js:256	startVideoRecording	
POST	/live-meetings/:param/recording/start-video	src/service/managerServices.js:340	startVideoRecording	
POST	/live-meetings/:param/start	src/service/employeeServices.js:168	startMeeting	
POST	/live-meetings/:param/start	src/service/managerServices.js:232	startMeeting	
POST	/me/avatar	src/service/avatarService.js:25	formData	
GET	/me/biometric-status	src/service/avatarService.js:4	getBiometricStatus	
POST	/me/biometric-submission	src/service/avatarService.js:15	formData	
GET	/me/schedule	src/service/employeeServices.js:76	query	QS
GET	/me/schedule	src/service/managerServices.js:140	query	QS
GET	/media-files/:param/playback	src/service/businessAdminServices.js:290	getMediaFilePlayback	
GET	/media-files/:param/playback	src/service/employeeServices.js:186	getMediaFilePlayback	
GET	/media-files/:param/secure-download	src/service/businessAdminServices.js:281	getMediaFileSecureDownload	
GET	/media-files/:param/secure-download	src/service/employeeServices.js:177	getMediaFileSecureDownload	
PATCH	/media-files/:param/visibility	src/service/businessAdminServices.js:300	updateMediaVisibility	
PATCH	/media-files/:param/visibility	src/service/managerServices.js:261	updateMediaVisibility	
GET	/meeting-minutes	src/components/minutes/MinutesTabContent.jsx:51	minutesListRes	
DELETE	/meeting-minutes/:param	src/service/minutesServices.js:59	deleteMeetingMinutes	
GET	/meeting-minutes/:param	src/service/minutesServices.js:42	getMeetingMinutesById	
PATCH	/meeting-minutes/:param	src/service/minutesServices.js:51	updateMeetingMinutes	
GET	/meeting-minutes/:param/attachments	src/service/businessAdminServices.js:437	getMinutesAttachments	
POST	/meeting-minutes/:param/attachments	src/service/businessAdminServices.js:432	uploadMinutesAttachment	
DELETE	/meeting-minutes/:param/attachments/:param	src/service/businessAdminServices.js:442	deleteMinutesAttachment	
POST	/meeting-minutes/:param/exports	src/service/businessAdminServices.js:427	exportMinutes	
POST	/meeting-minutes/:param/issue	src/service/minutesServices.js:67	issueMeetingMinutes	
PATCH	/meeting-minutes/:param/link-resources	src/service/businessAdminServices.js:407	linkMinutesResources	
GET	/meeting-minutes/:param/shares	src/service/businessAdminServices.js:417	getMinutesShares	
POST	/meeting-minutes/:param/shares	src/service/businessAdminServices.js:412	createMinutesShare	
DELETE	/meeting-minutes/:param/shares/:param	src/service/businessAdminServices.js:422	revokeMinutesShare	
GET	/meeting-minutes/search-by-person	src/service/businessAdminServices.js:402	query	QS
GET	/meeting-requests	src/service/managerServices.js:100	query	QS
POST	/meeting-requests/:param/approve	src/service/managerServices.js:108	approveMeetingRequest	
